name,lat,lng,class,flowinfo,url,huc_cd,id
"USGS 02176930 CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",34.97452778,-83.11616670,0,"Discharge: 36.2 cfs;Stage: 0.68 ft;Stage (adj): 2050.68 ft;Date: 2024-09-06 10:45:00;Length of record: 14 years;Class: Not-ranked;% normal(median): 36.06 %;% normal(mean): 26.33 %",https://waterdata.usgs.gov/monitoring-location/02176930,03060102,02176930
"USGS 02177000 CHATTOOGA RIVER NEAR CLAYTON, GA",34.81377778,-83.30636110,3,"Discharge: 150 cfs;Stage: 1.04 ft;Stage (adj): 1166.54 ft;Date: 2024-09-06 11:00:00;Length of record: 84 years;Class: <10;% normal(median): 43.17 %;% normal(mean): 28.78 %",https://waterdata.usgs.gov/monitoring-location/02177000,03060102,02177000
"USGS 02178400 TALLULAH RIVER NEAR CLAYTON, GA",34.88997220,-83.53063889,3,"Discharge: 43.0 cfs;Stage: 1.72 ft;Stage (adj): 1870.65 ft;Date: 2024-09-06 11:45:00;Length of record: 60 years;Class: <10;% normal(median): 52.44 %;% normal(mean): 36.83 %",https://waterdata.usgs.gov/monitoring-location/02178400,03060102,02178400
"USGS 02180400 TIGER CREEK NEAR LAKEMONT, GA",34.78613889,-83.41558330,0,"Discharge: 21.5 cfs;Stage: 0.32 ft;Date: 2024-09-06 11:15:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02180400,03060102,02180400
"USGS 02181350 TALLULAH R AT TERRORA PWRHSE, NR TALLULAH FALLS,GA",34.75027778,-83.40500000,0,"Discharge: 39.3 cfs;Stage: 1.96 ft;Stage (adj): 1552.96 ft;Date: 2024-09-06 11:30:00;Length of record: 9 years;Class: Not-ranked;% normal(median): 68.47 %;% normal(mean): 40.40 %",https://waterdata.usgs.gov/monitoring-location/02181350,03060102,02181350
"USGS 02181580 TALLULAH RIVER AB POWERHOUSE, NR TALLULAH FALLS,GA",34.73191667,-83.37541670,0,"Discharge: 37.2 cfs;Stage: 5.11 ft;Stage (adj): 945.11 ft;Date: 2024-09-06 11:15:00;Length of record: 26 years;Class: Not-ranked;% normal(median): 89.53 %;% normal(mean): 64.13 %",https://waterdata.usgs.gov/monitoring-location/02181580,03060102,02181580
"USGS 02187010 HARTWELL LAKE NEAR ANDERSON, SC",34.50833330,-82.85527780,0,"Stage: 654.45 ft;Stage (adj): 654.41 ft;Date: 2024-09-06 11:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02187010,03060102,02187010
"USGS 02188100 RUSSELL LAKE ABOVE CALHOUN FALLS, SC",34.10111110,-82.61805560,0,"Stage: 473.40 ft;Stage (adj): 472.89 ft;Date: 2024-09-06 11:00:00;Class: Not-ranked",https://waterdata.usgs.gov/monitoring-location/02188100,03060103,02188100
"USGS 02188600 BEAVERDAM CREEK ABOVE ELBERTON, GA",34.16861110,-82.89661110,0,"Discharge: 23.5 cfs;Stage: 1.56 ft;Stage (adj): 530.56 ft;Date: 2024-09-06 11:00:00;Length of record: 22 years;Class: Not-ranked;% normal(median): 107.31 %;% normal(mean): 92.56 %",https://waterdata.usgs.gov/monitoring-location/02188600,03060103,02188600
"USGS 02191227 GROVE CREEK AT US 441 AND GA 15 NEAR COMMERCE, GA",34.26894444,-83.46808330,0,"Discharge: 24.8 cfs;Stage: 6.61 ft;Stage (adj): 706.61 ft;Date: 2024-09-06 11:15:00;Length of record: 9 years;Class: Not-ranked;% normal(median): 107.36 %;% normal(mean): 74.03 %",https://waterdata.usgs.gov/monitoring-location/02191227,03060104,02191227
